pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
sinclair|c|yang|z,2026-09-23 00:13:47,2026-09-23 00:13:17,2026-09-23 04:00:00,226.2,0.9497777044489397,0.0502222955510603,0.9640675530003594,0.06978367062107467,350,3738947405
baez|s|brooksby|j,2026-09-23 00:13:47,2026-09-23 00:13:17,2026-09-23 04:00:00,226.2,0.4070714305301799,0.5929285694698199,0.42372881355932196,0.609375,2250,3738947405
basilashvili|n|cina|f,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.37690208337739506,0.623097916622605,0.39840637450199207,0.6441281138790036,1050,3738974796
maduzzi|g|serban|r,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.5458413105948081,0.45415868940519166,0.574468085106383,0.48309178743961345,350,3738973912
lacis|r|madaras|d,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:00:00,301.3,0.017534802382175373,0.9824651976178246,0.03431708991077557,0.9911158493248046,350,3738963147
chen|k|palan|d,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 02:00:00,61.3,0.5838591325438827,0.41614086745611734,0.607843137254902,0.44052863436123346,450,3738953837
cerundolo|j|zhou|y,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.6515841735160391,0.34841582648396097,0.6677740863787376,0.36496350364963503,2250,3738953643
lu|j|yi|q,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.8820867176746966,0.11791328232530347,0.9024390243902439,0.14184397163120568,350,3738968834
barsukov|n|han|s,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.7539370473955433,0.24606295260445682,0.7772828507795101,0.2710027100271003,350,3738953983
wong|c|zhang|z,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 02:00:00,1501.3,0.5969827269507445,0.40301727304925555,0.613899613899614,0.42016806722689076,2250,3738960343
elkady|j|smirnova|k,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.13475306951267257,0.8652469304873271,0.16420361247947454,0.8901098901098901,350,3738970950
paardekooper|s|ricci|p,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:00:00,301.3,0.857142857142857,0.14285714285714302,0.8823529411764706,0.1724137931034483,350,3738976179
back|d|joint|m,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 05:00:00,241.3,0.21613775603547528,0.7838622439645248,0.23364485981308414,0.8003992015968063,1700,3738960492
coppejans|k|mikrut|l,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 09:00:00,481.3,0.3291464873484519,0.6708535126515482,0.35335689045936397,0.6941896024464832,1050,3738968081
galarneau|a|harris|l,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 05:00:00,241.3,0.25997615393554,0.74002384606446,0.2824858757062147,0.7613365155131264,1050,3738964247
suvirdjonkova|d|yang|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 01:30:00,31.3,0.33797769580909726,0.6620223041909029,0.3623188405797102,0.6855345911949686,450,3738976274
dencheva|r|mazzola|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.8778125895254036,0.12218741047459616,0.9019607843137255,0.151285930408472,350,3738973956
astakhova|d|korneeva|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.13039657717869646,0.8696034228213037,0.14970059880239522,0.8867497168742923,1125,3738963072
bolt|a|santillan|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.6696902633067168,0.3303097366932832,0.6884735202492213,0.34965034965034963,1300,3738965439
griekspoor|t|shapovalov|d,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.4288871703794418,0.5711128296205582,0.4464285714285714,0.5884773662551441,2250,3738954278
borges|n|carabelli|c,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.808244464420611,0.19175553557938907,0.8245614035087718,0.2092050209205021,1700,3738953813
hurkacz|h|shevchenko|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.8172560023684432,0.18274399763155674,0.8333333333333334,0.2,1700,3738954171
bu|y|zheng|m,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 02:00:00,1501.3,0.40541723451544426,0.5945827654845557,0.42194092827004215,0.6108949416342413,2250,3738960343
bellucci|m|majchrzak|k,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 02:00:00,1501.3,0.4163570744949415,0.5836429255050585,0.4329004329004329,0.6000000000000001,2250,3738960412
duckworth|j|sonego|l,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.4288871703794418,0.5711128296205582,0.4464285714285714,0.5884773662551441,2250,3738954236
maric|d|simionescu|d,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.6827269905380758,0.31727300946192416,0.7101449275362319,0.34602076124567477,350,3738973912
khomutsianskaya|d|shikhanova|m,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 01:30:00,31.3,0.9590849909522814,0.04091500904771875,0.971894322653176,0.05920663114268798,350,3738971058
wang|y|zharkikh|m,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 03:30:00,151.3,0.9727105204649624,0.027289479535037586,0.9828267216211576,0.04310344827586207,350,3738968834
ozeki|m|yang|y,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 03:00:00,121.3,0.07198348654710005,0.9280165134529,0.09363295880149813,0.9449642267473858,350,3738976911
abe|h|arakawa|h,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 01:00:00,1.3,0.8678399320096677,0.13216006799033242,0.8888888888888888,0.1564945226917058,450,3738976758
leykina|p|tang|x,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 02:30:00,91.3,0.7816380790365862,0.21836192096341353,0.8046875000000001,0.24330900243309006,450,3738965593
baez|s|brooksby|j,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.40941694450458627,0.5905830554954137,0.42372881355932196,0.6047430830039526,2250,3738976586
choi|o|li|x,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 02:30:00,91.3,0.800785953553467,0.19921404644653296,0.8236331569664903,0.2242152466367713,450,3738965978
daniel|t|matsuoka|h,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.656106665593223,0.3438933344067771,0.6753246753246753,0.36363636363636365,1300,3738965891
taberner|c|wiskandt|m,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 12:00:00,661.3,0.6880730205642738,0.3119269794357263,0.7118155619596541,0.3367003367003367,1050,3738971892
dvalishvili|l|pawlikowska|z,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 06:30:00,331.3,0.05599193398089106,0.9440080660191091,0.08084074373484236,0.9615384615384615,350,3738971451
aguiard|e|li|s,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 02:00:00,61.3,0.9869102362458823,0.013089763754117599,0.9931304527031669,0.0248015873015873,450,3738977074
chikaraishi|y|itaya|r,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 03:00:00,121.3,0.38031686964196426,0.6196831303580358,0.4184100418410042,0.6563573883161512,50,3738975327
mannarino|a|shang|j,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-24 01:00:00,1441.3,0.2952423130281726,0.7047576869718276,0.3125,0.7214484679665738,2250,3738953837
jiang|z|wang|w,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 03:30:00,151.3,0.8240343225703319,0.1759656774296679,0.8463901689708141,0.2008032128514056,350,3738955119
hu|h|tang|s,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 04:00:00,181.3,0.015017855953830163,0.9849821440461703,0.027442371020856202,0.9918287301846707,350,3738960872
jacquet|k|vukic|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 08:00:00,421.3,0.4929892761612501,0.5070107238387499,0.5098039215686274,0.5238095238095238,2250,3738973964
hance|k|martin|a,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 00:15:00,-43.7,0.23523366955719957,0.7647663304428005,0.2577319587628866,0.7858672376873661,1750,3738975816
han|j|tamura|k,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 01:00:00,1.3,0.7524409776370322,0.2475590223629676,0.7757847533632287,0.2724795640326976,450,3738976802
morais|d|poullain|l,2026-09-23 00:58:42,2026-09-23 00:58:34,2026-09-23 11:00:00,601.3,0.21735980584294762,0.7826401941570527,0.25252525252525254,0.8141263940520447,225,3738968650
itaya|r|jang|g,2026-09-23 00:58:42,2026-09-23 00:47:49,2026-09-23 03:00:00,121.3,0.08704307129769599,0.912956928702304,0.11467889908256883,0.9344262295081968,350,3738971408
kotov|p|mochizuki|s,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 06:30:00,302.4,0.5849706215918269,0.4150293784081732,0.6062992125984252,0.4366812227074236,1050,3738980557
baez|s|brooksby|j,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 04:00:00,152.4,0.40941694450458627,0.5905830554954137,0.42372881355932196,0.6047430830039526,3000,3738979857
hu|h|tang|s,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 04:00:00,152.4,0.015148675662994132,0.9848513243370058,0.027616680475006903,0.9917382683410444,350,3738980491
ebster|a|herazo|m,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 07:00:00,332.4,0.13800415156392082,0.8619958484360792,0.16750418760469013,0.8870056497175142,350,3738977718
biro|m|safta|a,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 07:00:00,332.4,0.6540330709635537,0.3459669290364463,0.6815286624203821,0.37453183520599254,350,3738982143
cui|j|vallejo|a,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-24 02:00:00,1472.4,0.25815056150665505,0.741849438493345,0.27548209366391185,0.7584541062801933,2250,3738987218
barbulescu|b|boyden|m,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 08:00:00,392.4,0.8907590781049737,0.10924092189502631,0.9173553719008265,0.14306151645207438,225,3738981297
ozeki|m|yang|y,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:16:00,108.4,0.07198348654710005,0.9280165134529,0.09363295880149813,0.9449642267473858,450,3738981105
hance|k|martin|a,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-23 01:05:00,-22.6,0.2327846699402096,0.7672153300597905,0.25510204081632654,0.788135593220339,1750,3738987990
park|s|tararudee|l,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:00:00,92.4,0.14172192324795047,0.8582780767520496,0.15873015873015872,0.8737373737373737,1500,3738983740
daniel|t|matsuoka|h,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 04:00:00,152.4,0.6584643792538994,0.34153562074610067,0.6774193548387096,0.36101083032490977,1750,3738980914
barsukov|n|han|s,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 05:00:00,212.4,0.7207837216090557,0.27921627839094426,0.7442455242966751,0.303951367781155,350,3738977718
dumitru|k|jaeger|e,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 07:00:00,332.4,0.5376268514207653,0.46237314857923467,0.5652173913043479,0.49019607843137253,350,3738977718
shimizu|e|tsao|c,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:00:00,92.4,0.5359139283125437,0.4640860716874564,0.5594713656387665,0.48780487804878053,450,3738979857
bakshi|a|dolzhenkov|d,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-23 06:00:00,272.4,0.8670321238758756,0.13296787612412458,0.8917748917748918,0.16233766233766234,350,3738987415
hayasaka|k|rajecki|a,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-23 03:00:00,92.4,0.3648678599898564,0.6351321400101436,0.3891050583657587,0.6587030716723549,450,3738987614
rakhimova|k|volynets|k,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:00:00,92.4,0.3582544223423788,0.6417455776576212,0.373134328358209,0.6563573883161512,3000,3738983530
dougaz|a|komagata|r,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:00:00,92.4,0.9563252150753695,0.04367478492463023,0.9696048632218845,0.06238303181534622,450,3738979857
chikaraishi|y|itaya|r,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-23 03:00:00,92.4,0.3807126399800214,0.6192873600199787,0.40485829959514175,0.6428571428571428,350,3738987151
basilashvili|n|cina|f,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 06:30:00,302.4,0.3748388746919347,0.6251611253080653,0.3968253968253968,0.646643109540636,1050,3738979764
chen|k|palan|d,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 02:00:00,32.4,0.5873106871868211,0.4126893128131789,0.6108949416342413,0.4366812227074236,450,3738980080
royer|v|walton|a,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 12:00:00,632.4,0.4953266945834858,0.5046733054165143,0.5121951219512195,0.5215311004784688,2250,3738977718
binda|a|chung|y,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 03:00:00,92.4,0.42044986134335793,0.579550138656642,0.4444444444444444,0.6031746031746031,450,3738979857
noguchi|r|svrcina|d,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 06:00:00,272.4,0.18771530258168587,0.8122846974183143,0.21008403361344538,0.8327759197324415,800,3738981053
beamish|n|nakajima|k,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 05:00:00,212.4,0.6383798762953181,0.3616201237046819,0.6621621621621622,0.3861003861003861,350,3738977718
atmane|t|faria|j,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-24 02:00:00,1472.4,0.5656383177141788,0.43436168228582117,0.5815899581589958,0.4504504504504505,2250,3738986724
biryukov|p|muller|a,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 05:00:00,212.4,0.3059629618727931,0.6940370381272069,0.3278688524590164,0.715099715099715,1300,3738979454
galarneau|a|harris|l,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 05:00:00,212.4,0.25795138379859245,0.7420486162014075,0.2801120448179272,0.7630331753554502,1300,3738979678
sun|f|tomic|b,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 06:00:00,272.4,0.3488191027200995,0.6511808972799007,0.37037037037037035,0.6721311475409836,1050,3738980954
bolt|a|santillan|a,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-23 04:00:00,152.4,0.6712777923015785,0.3287222076984215,0.6904024767801857,0.3484320557491289,1750,3738980826
gaston|h|shimabukuro|s,2026-09-23 01:27:37,2026-09-23 01:13:41,2026-09-24 02:00:00,1472.4,0.5197859544359869,0.48021404556401315,0.5370370370370371,0.49751243781094534,2250,3738981714
aguiard|e|li|s,2026-09-23 01:27:37,2026-09-23 01:22:47,2026-09-23 02:00:00,32.4,0.984024026337186,0.015975973662814034,0.9911668580514088,0.02872737719046251,450,3738983882
leykina|p|tang|x,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 02:38:00,52.5,0.7816380790365862,0.21836192096341353,0.8046875000000001,0.24330900243309006,450,3738996526
choi|o|li|x,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 02:38:00,52.5,0.800785953553467,0.19921404644653296,0.8236331569664903,0.2242152466367713,450,3738996954
back|d|joint|m,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 05:00:00,194.5,0.21339541997497813,0.7866045800250219,0.22831050228310504,0.800796812749004,2250,3738995503
hurkacz|h|shevchenko|a,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-24 01:00:00,1394.5,0.8175914153693371,0.18240858463066295,0.8336106489184693,0.1996007984031936,1700,3738997313
daniel|t|matsuoka|h,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 04:00:00,134.5,0.6420567704779213,0.3579432295220788,0.6610169491525424,0.37735849056603776,1750,3738997508
deng|t|kitahara|y,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 02:00:00,14.5,0.622822588294444,0.37717741170555596,0.646643109540636,0.4016064257028112,450,3738992919
chwalinska|m|oliynykova|o,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:00:00,74.5,0.6776124049397441,0.3223875950602559,0.6894409937888198,0.33444816053511706,5000,3738988857
wang|y|zharkikh|m,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:38:00,112.5,0.9727105204649624,0.027289479535037586,0.9828267216211576,0.04310344827586207,350,3738996526
okutoyi|a|petkovic|a,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 07:30:00,344.5,0.6714337645115968,0.32856623548840297,0.6987951807228916,0.35714285714285715,350,3738993887
hayasaka|k|rajecki|a,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:00:00,74.5,0.3590095630148923,0.6409904369851078,0.38314176245210724,0.6644295302013422,450,3738993218
jacquet|k|vukic|a,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 08:00:00,374.5,0.49766350038102364,0.5023364996189763,0.5145631067961165,0.5192307692307692,2250,3738990667
krejcikova|b|mertens|e,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 06:30:00,284.5,0.33492430989420563,0.6650756901057945,0.34965034965034963,0.6794871794871794,3000,3738988728
baez|s|brooksby|j,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 04:00:00,134.5,0.4145172755603552,0.5854827244396449,0.4291845493562232,0.6000000000000001,3000,3738993305
biryukov|p|muller|a,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 05:00:00,194.5,0.3062088519982352,0.6937911480017648,0.32573289902280134,0.7126436781609194,1300,3738993751
galarneau|a|harris|l,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 05:00:00,194.5,0.2580370134579117,0.7419629865420883,0.2777777777777778,0.7607655502392345,1300,3738993807
jiang|z|wang|w,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:38:00,112.5,0.8240343225703319,0.1759656774296679,0.8463901689708141,0.2008032128514056,350,3738996526
kakenova|a|zhu|c,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:38:00,112.5,0.06349256911165894,0.9365074308883411,0.08445945945945946,0.9525391551969625,450,3738996171
caniato|c|gentzsch|t,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 09:00:00,434.5,0.42484989400518214,0.575150105994818,0.4484304932735426,0.5983935742971888,1050,3738994783
chikaraishi|y|itaya|r,2026-09-23 01:45:25,2026-09-23 01:43:51,2026-09-23 03:00:00,74.5,0.3807126399800214,0.6192873600199787,0.40485829959514175,0.6428571428571428,450,3738989145
khomutsianskaya|d|shikhanova|m,2026-09-23 01:45:25,2026-09-23 01:37:58,2026-09-23 01:43:33,-2.0,0.9590849909522814,0.04091500904771875,0.971894322653176,0.05920663114268798,450,3738993364
hou|y|xu|j,2026-09-23 01:45:25,2026-09-23 01:37:58,2026-09-23 01:42:11,-3.3,0.7112318669143144,0.28876813308568555,0.7347480106100795,0.31347962382445144,450,3738992783
suvirdjonkova|d|yang|a,2026-09-23 01:45:25,2026-09-23 01:37:58,2026-09-23 02:38:00,52.5,0.33797769580909726,0.6620223041909029,0.3623188405797102,0.6855345911949686,450,3738993751
sagandikova|a|son|h,2026-09-23 01:45:25,2026-09-23 01:33:04,2026-09-23 01:40:57,-4.6,0.6734976545395924,0.3265023454604076,0.696969696969697,0.3508771929824561,450,3738992472
daniel|t|matsuoka|h,2026-09-23 01:56:32,2026-09-23 01:53:10,2026-09-23 04:00:00,123.4,0.610899763269107,0.389100236730893,0.6296296296296295,0.4081632653061224,1750,3739001563
hance|k|martin|a,2026-09-23 01:56:32,2026-09-23 01:48:15,2026-09-23 01:56:20,-0.2,0.2327846699402096,0.7672153300597905,0.25510204081632654,0.788135593220339,1750,3738998988
noguchi|r|svrcina|d,2026-09-23 01:56:32,2026-09-23 01:53:10,2026-09-23 06:00:00,243.4,0.1930519762528049,0.8069480237471952,0.21551724137931033,0.8275862068965518,800,3739001657
wang|y|zharkikh|m,2026-09-23 01:56:32,2026-09-23 01:53:10,2026-09-23 03:39:00,102.4,0.9727105204649624,0.027289479535037586,0.9828267216211576,0.04310344827586207,450,3738998369
aguiard|e|li|s,2026-09-23 01:56:32,2026-09-23 01:53:10,2026-09-23 02:00:00,3.4,0.984024026337186,0.015975973662814034,0.9911668580514088,0.02872737719046251,450,3739000919
jiang|z|wang|w,2026-09-23 01:56:32,2026-09-23 01:53:10,2026-09-23 03:38:00,101.4,0.8240343225703319,0.1759656774296679,0.8463901689708141,0.2008032128514056,450,3738998351
